Area of Residence,ICD 10 Diagnostic Group,Year,Mortality Rate(per 1000)
Monaghan,Neoplasms,2016,1.72
Monaghan,Diseases of the circulatory system,2007,2.55
Monaghan,Diseases of the circulatory system,2008,2.48
Monaghan,Diseases of the circulatory system,2009,2.28
Monaghan,Diseases of the circulatory system,2010,2.21
Monaghan,Diseases of the circulatory system,2011,1.98
Monaghan,Diseases of the circulatory system,2012,2.04
Monaghan,Diseases of the circulatory system,2013,2.08
Monaghan,Diseases of the circulatory system,2014,2.04
Monaghan,Diseases of the circulatory system,2015,1.88
Monaghan,Diseases of the circulatory system,2016,2.24
Monaghan,Diseases of the respiratory system,2007,0.79
Monaghan,Diseases of the respiratory system,2008,0.8
Monaghan,Diseases of the respiratory system,2009,0.95
Monaghan,Diseases of the respiratory system,2010,0.71
Monaghan,Diseases of the respiratory system,2011,0.79
Monaghan,Diseases of the respiratory system,2012,0.69
Monaghan,Diseases of the respiratory system,2013,0.69
Monaghan,Diseases of the respiratory system,2014,0.92
Monaghan,Diseases of the respiratory system,2015,0.82
Monaghan,Diseases of the respiratory system,2016,0.59
Monaghan,External causes of injury and poisoning,2007,0.5
Monaghan,External causes of injury and poisoning,2008,0.33
Monaghan,External causes of injury and poisoning,2009,0.43
Monaghan,External causes of injury and poisoning,2010,0.29
Monaghan,External causes of injury and poisoning,2011,0.36
Monaghan,External causes of injury and poisoning,2012,0.44
Monaghan,External causes of injury and poisoning,2013,0.41
Monaghan,External causes of injury and poisoning,2014,0.41
Monaghan,External causes of injury and poisoning,2015,0.37
Monaghan,External causes of injury and poisoning,2016,0.37
